battery_id,cycle_number,capacity_Ah
1,0,1.02655280097656
1,45,0.994609629418985
1,90,0.956808773973652
1,116,0.940172870889343
1,135,0.922092860172421
1,180,0.83543935919555
1,204,0.810998655186439
2,0,0.994030039667287
2,20,0.987917991180085
2,40,0.979864168415784
2,60,0.974307426435509
2,80,0.971808617256899
2,100,0.966533037081749
2,120,0.967922621634478
2,140,0.961533742225308
2,160,0.958480840674763
2,180,0.952373012074756
2,200,0.947370305294845
2,220,0.945704395906274
2,240,0.940981890206006
2,260,0.936821580437169
2,280,0.935711614268803
2,300,0.929880687576464
2,320,0.924603673369409
3,0,0.98549202031104
3,45,0.903798053062179
3,80,0.921344964054144
3,90,0.910784963916051
3,135,0.885192491884972
3,180,0.865473063834687
3,225,0.833805667218662
3,270,0.792142461825171
3,315,0.767421659059552
3,360,0.741034650555741
3,405,0.714092144304574
3,450,0.684096859560876
4,0,1.04048704404695
4,45,1.01935085050873
4,90,0.997961160566244
4,135,0.976290894801003
4,180,0.935735896820434
4,225,0.871018238287827
4,270,0.794079877123371
4,315,0.701867811941701
5,0,1.02492190469931
5,45,1.01072915498403
5,90,1.00489515013868
5,135,0.997119768237826
5,180,0.992122731763323
5,225,0.98573144342867
5,270,0.975458191193441
5,315,0.956846068823585
5,360,0.932960977882533
5,405,0.898245839907669
5,450,0.834363868751555
5,495,0.747704824931211
5,540,0.646047833941644
